Port Number,Service Name,Description,Protocol
Port 7,ECHO,Used to test round-trip time (echo reply),TCP / UDP
Port 9,DISCARD,Used to test network performance,TCP / UDP
Port 13,Daytime,Returns the current date and time (used for testing/debugging),TCP / UDP
Port 17,QOTD,Quote of the Day – returns a quote or message (mainly for testing/debugging),TCP / UDP
Ports 20-21,FTP,File Transfer Protocol,TCP
Port 22,SSH,"Secure Shell; used for secure logins, file transfers, and port forwarding",TCP
Port 23,Telnet,Telnet protocol; used for unencrypted text communications,TCP / UDP
Port 25,SMTP,"Simple Mail Transfer Protocol, used for email routing between mail servers",TCP
Port 37,Time,"Used to provide a machine-readable date and time, usually for synchronizing clocks",TCP / UDP
Port 42,nameserver,Host Name Server (used for Host Name to IP Address mapping),TCP / UDP
Port 49,TACACS,Terminal Access Controller Access-Control System,TCP / UDP
Port 53,DNS,Domain Name System; translates 'host names' into IP addresses,TCP / UDP
Port 69,TFTP,Trivial File Transfer Protocol,UDP
Port 80,HTTP,Hypertext Transfer Protocol; used for unencrypted web traffic,TCP
Port 88,Kerberos,"Used for secure network authentication, especially in Active Directory environments",TCP / UDP
Port 102,ISO-TSAP,ISO Transport Service Access Point (TSAP),TCP / UDP
Port 110,POP3,Post Office Protocol; used to connect to a mail server to retrieve emails,TCP / UDP
Port 111,rpcbind,"Portmapper service used to map RPC program numbers to network port numbers, typically used in NFS and other RPC services.",TCP / UDP
Port 123,NTP,Network Time Protocol,UDP
Port 135,DCE/RPC Endpoint Mapper,Distributed Computing Environment / Remote Procedure Call (DCE/RPC) Endpoint Mapper,TCP / UDP
Port 137,NetBIOS-NS,NetBIOS Name Service – used for name resolution in Windows networks,UDP
Port 139,NetBIOS-ssn,NetBIOS Session Service,TCP / UDP
Port 143,IMAP,Internet Message Access Protocol – used to retrieve email from mail servers,TCP
Port 161,SNMP-agents,Simple Network Management Protocol; agents communicate on this port,TCP / UDP
Port 162,SNMP-traps,Simple Network Management Protocol; used by management systems to receive alerts and notifications from agents,TCP / UDP
Ports 381 - 383,HP Performance Data Collector,Collects performance data from managed nodes,TCP / UDP
Port 389,LDAP,Lightweight Directory Access Protocol,TCP / UDP
Port 427,SLP,"Service Location Protocol, used for service discovery in local networks",TCP / UDP
Port 443,HTTPS,"Hypertext Transfer Protocol Secure; used for encrypted
web traffic",TCP / UDP
Port 445,Microsoft DS SMB,"Microsoft Directory Services; TCP used for AD and Windows shares, UDP for SMB file-sharing",TCP / UDP
Port 464,Kerberos,"Used for changing or setting passwords in Kerberos-based authentication systems, such as Active Directory",TCP / UDP
Port 465,SMTP,Simple Mail Transfer Protocol; used to securely transmit mail messages from email clients to email servers.,TCP
Port 500,ISAKMP,Internet Security Association and Key Management Protocol – used for establishing VPNs (IPsec),UDP
Port 514,syslog,Syslog Protocol; for collecting and organizing all log files sent from various devices on a network,UDP
Port 515,printer,Used by Line Printer Daemon (LPD) for printing services over a network. Common in Unix systems.,TCP
Port 587,SMTP,Simple Mail Transfer Protocol; used for email message submission,UDP
Port 593,RPC Mapper Service,Enables secure remote connections and function execution over HTTP.,TCP / UDP
Port 623,ADF Remote,Alert Standard Format (ASF) – remote management/control (IPMI),UDP
Port 631,IPP,Internet Printing Protocol - Used for network printing and printer management,TCP / UDP
Port 636,LDAP  / LDAPS,Lightweight Directory Access Protocol (over SSL); used to store data in the LDAP directory and authenticate users to access the directory,TCP / UDP
Port 691,Microsoft Exchange Routing Engine (RESvc),Used by Microsoft Exchange servers to update routing tables for efficient message delivery.,TCP
Port 902,VMware vSphere,Used to manage your ESXi hosts and the virtual machines (VMs) that run on them,TCP / UDP
